name,symbol,price_usd,change,volume_M,market_cap_B,pe_ratio
NVIDIA Corporation,NVDA,177.64,0.25,107.121,4318.0,36.2
"Hologic, Inc.",HOLX,76.01,0.36,101.956,16.969,31.48
Plug Power Inc.,PLUG,2.69,0.28,99.038,3.75,
Nokia Oyj,NOK,8.89,0.07,83.6,49.629,66.82
"Soleno Therapeutics, Inc.",SLNO,52.25,12.76,58.034,2.806,101.26
Snap Inc.,SNAP,4.71,0.08,52.134,7.955,
Intel Corporation,INTC,50.32,-0.06,49.049,252.648,
Ondas Inc.,ONDS,9.52,-0.08,45.278,4.586,
"SoFi Technologies, Inc.",SOFI,16.27,0.42,42.388,20.749,41.1
"Bitmine Immersion Technologies, Inc.",BMNR,20.6,1.15,40.757,9.38,
"MARA Holdings, Inc.",MARA,8.85,0.14,36.387,3.365,
"Tesla, Inc.",TSLA,351.6,-9.12,35.852,1319.0,333.88
Apple Inc.,AAPL,258.86,2.94,29.32,3805.0,32.46
Baytex Energy Corp.,BTE,4.4,0.15,28.182,3.382,
Pfizer Inc.,PFE,27.83,-0.49,25.128,158.307,20.82
Palantir Technologies Inc.,PLTR,147.93,-0.53,25.114,353.801,235.65
"Venture Global, Inc.",VG,15.94,1.3,24.911,39.164,17.02
Nu Holdings Ltd.,NU,14.26,0.11,24.847,69.242,24.2
Archer Aviation Inc.,ACHR,5.54,0.12,24.795,4.154,
Ford Motor Company,F,11.61,0.01,24.344,46.569,
"Robinhood Markets, Inc.",HOOD,69.78,0.88,24.288,62.824,33.61
"Micron Technology, Inc.",MU,379.2,13.63,23.354,427.637,17.23
"Rivian Automotive, Inc.",RIVN,15.29,-0.11,22.726,18.975,
"Marvell Technology, Inc.",MRVL,109.51,2.4,22.656,95.762,34.89
Rocket Lab Corporation,RKLB,67.67,-0.06,22.284,38.532,
"Warner Bros. Discovery, Inc.",WBD,27.41,0.09,22.129,68.711,94.21
Energy Transfer LP,ET,18.96,0.03,22.015,65.228,15.65
Stellantis N.V.,STLA,7.48,-0.07,21.866,21.673,
IREN Limited,IREN,35.13,0.36,21.635,11.655,26.06
"Rocket Companies, Inc.",RKT,15.03,0.07,21.51,42.382,
"AXT, Inc.",AXTI,41.99,-10.85,21.162,2.334,
B2Gold Corp.,BTG,4.64,-0.09,20.609,6.233,17.07
"Netflix, Inc.",NFLX,98.68,-0.44,20.521,418.611,39.0
Ambev S.A.,ABEV,2.99,0.06,20.487,46.885,15.46
Opendoor Technologies Inc.,OPEN,4.61,-0.13,19.956,4.418,
Comcast Corporation,CMCSA,27.66,-0.27,19.63,100.79,5.18
Lloyds Banking Group plc,LYG,5.24,0.03,19.533,94.403,14.19
"Hims & Hers Health, Inc.",HIMS,20.33,1.19,19.5,4.634,37.36
Norwegian Cruise Line Holdings Ltd.,NCLH,19.37,0.44,18.404,8.824,20.69
"Intuitive Machines, Inc.",LUNR,22.92,-1.07,18.389,3.653,
"Advanced Micro Devices, Inc.",AMD,220.18,2.68,18.311,359.033,83.33
American Airlines Group Inc.,AAL,10.9,0.06,18.274,7.197,64.45
Cipher Digital Inc.,CIFR,13.35,0.53,18.112,5.408,
NuScale Power Corporation,SMR,10.17,0.02,17.789,3.24,
Applied Digital Corporation,APLD,25.19,0.63,17.774,7.043,
Gerdau S.A.,GGB,3.76,-0.02,17.752,7.433,28.75
Grab Holdings Limited,GRAB,3.56,-0.06,17.604,14.618,60.33
"CleanSpark, Inc.",CLSK,9.1,0.31,17.427,2.327,
Kenvue Inc.,KVUE,17.3,0.16,17.022,33.159,22.55
"Applied Optoelectronics, Inc.",AAOI,107.45,3.54,16.982,8.346,
"CoreWeave, Inc.",CRWV,80.94,-1.3,16.933,42.549,
Alphabet Inc.,GOOGL,299.99,4.22,16.933,3629.0,27.38
Huntington Bancshares Incorporated,HBAN,15.94,0.15,16.538,32.472,11.36
Exxon Mobil Corporation,XOM,163.37,2.68,16.332,680.724,23.98
"Rigetti Computing, Inc.",RGTI,14.2,0.01,15.98,4.717,
"Coupang, Inc.",CPNG,19.51,0.56,15.313,35.668,172.27
"UiPath, Inc.",PATH,11.15,-0.09,14.968,5.962,21.62
