name,location,price,area,bhk
Bright stone,"3 BHK Flat in Adyar, Chennai",₹3.73 Cr,"2,000 sqft",3 BHK
Neel Kamal Apartment,"2 BHK Flat in Siruseri, Chennai",₹32.74 Lac,885 sqft,2 BHK
Neel Kamal Apartment,"2 BHK Flat in Siruseri, Chennai",₹31.86 Lac,885 sqft,2 BHK
Bright stone,"3 BHK Flat in Adyar, Chennai",₹3.73 Cr,"2,000 sqft",3 BHK
Neel Kamal Apartment,"2 BHK Flat in Siruseri, Chennai",₹32.74 Lac,885 sqft,2 BHK
Neel Kamal Apartment,"2 BHK Flat in Siruseri, Chennai",₹31.86 Lac,885 sqft,2 BHK
"Marvel Rivervier View County, Manapakkam, Chennai South","3 Bedroom House in Marvel Rivervier View County, Manapakkam",₹2.7 Cr,"1,808 sqft",3 BHK
"Kovur, Chennai, Chennai South","3 Bedroom House in Kovur, Chennai",₹1.14 Cr,800 sqft,3 BHK
Shiva Flat,"3 BHK Flat in Nanmangalam, Chennai",₹69 Lac,"1,100 sqft",3 BHK
"Tharapakkam, Chennai, Chennai South","3 Bedroom House in Tharapakkam, Chennai",₹1.12 Cr,838 sqft,3 BHK
"Tharapakkam, Chennai, Chennai South","3 Bedroom House in Tharapakkam, Chennai",₹1.17 Cr,878 sqft,3 BHK
"Tharapakkam, Chennai, Chennai South","3 Bedroom House in Tharapakkam, Chennai",₹1.1 Cr,800 sqft,3 BHK
"Irandam Kattalai, Thandalam, Chennai, Chennai West","4 Bedroom House in Irandam Kattalai, Thandalam, Chennai",₹1.25 Cr,"1,000 sqft",4 BHK
"Kovur, Chennai, Chennai South","4 Bedroom House in Kovur, Chennai",₹1.4 Cr,"1,000 sqft",4 BHK
"Shriram Park 63
3.8","3 BHK Flat in Perungalathur, Chennai",₹1.7 Cr,"1,800 sqft",3 BHK
"Kundrathur, Chennai, Chennai South","3 Bedroom House in Kundrathur, Chennai",₹82 Lac,600 sqft,3 BHK
"Kovur, Chennai, Chennai South","2 Bedroom House in Kovur, Chennai",₹1.45 Cr,"1,700 sqft",2 BHK
"Kovur, Chennai, Chennai South","3 Bedroom House in Kovur, Chennai",₹1.05 Cr,870 sqft,3 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹1.25 Cr,860 sqft,3 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹1.35 Cr,"1,200 sqft",3 BHK
"Gerugambakkam, Chennai, Chennai South","4 Bedroom House in Gerugambakkam, Chennai",₹1.5 Cr,"1,150 sqft",4 BHK
"Gerugambakkam, Chennai, Chennai South","3 Bedroom House in Gerugambakkam, Chennai",₹1.3 Cr,970 sqft,3 BHK
"Tharapakkam, Chennai, Chennai South","3 Bedroom House in Tharapakkam, Chennai",₹1.2 Cr,963 sqft,3 BHK
"Tharapakkam, Chennai, Chennai South","2 Bedroom House in Tharapakkam, Chennai",₹1.4 Cr,"1,728 sqft",2 BHK
"Kovur, Chennai, Chennai South","3 Bedroom House in Kovur, Chennai",₹1.25 Cr,900 sqft,3 BHK
Hi Living Evita,"3 BHK Flat in Madhavaram, Chennai",₹1.1 Cr,"1,383 sqft",3 BHK
"Tharapakkam, Chennai, Chennai South","2 Bedroom House in Tharapakkam, Chennai",₹61 Lac,640 sqft,2 BHK
"Kovur, Chennai, Chennai South","3 Bedroom House in Kovur, Chennai",₹1.35 Cr,"1,350 sqft",3 BHK
